#,title,videoUrl,videoId,publishedAt,position
48,Defqwop - Heart Afire (ft. Strix),https://www.youtube.com/watch?v=hsXeFqj5p7Q&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=48,hsXeFqj5p7Q,2016-05-05T17:21:52Z,47
49,Just Valery - Your Love Is My Drug (8Bit Slowed),https://www.youtube.com/watch?v=PKUV93QVRN0&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=49,PKUV93QVRN0,2021-08-11T15:06:07Z,48
50,Elley Duhé - MIDDLE OF THE NIGHT (Official Video),https://www.youtube.com/watch?v=oSHzUD-uqKY&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=50,oSHzUD-uqKY,2022-05-05T14:00:10Z,49
51,AURORA - Runaway,https://www.youtube.com/watch?v=d_HlPboLRL8&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=51,d_HlPboLRL8,2015-02-27T06:00:01Z,50
52,AViVA - GRRRLS (Lyrics),https://www.youtube.com/watch?v=nF3dKA9CCQE&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=52,nF3dKA9CCQE,2018-12-02T22:26:33Z,51
53,Clarx - H.A.Y | Future House | NCS - Copyright Free Music,https://www.youtube.com/watch?v=mj9KRKSvdbk&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=53,mj9KRKSvdbk,2018-02-22T17:07:06Z,52
54,The Weeknd - Blinding Lights (Official Video),https://www.youtube.com/watch?v=4NRXx6U8ABQ&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=54,4NRXx6U8ABQ,2020-01-21T18:00:10Z,53
55,Glass Animals - Heat Waves (Official Video),https://www.youtube.com/watch?v=mRD0-GxqHVo&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=55,mRD0-GxqHVo,2020-06-29T18:30:09Z,54
56,Holdin' On (Skrillex & Nero Remix),https://www.youtube.com/watch?v=xsWW0WzTyic&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=56,xsWW0WzTyic,2015-03-05T13:45:04Z,55
57,Teminite & PsoGnar - Rally The Troops,https://www.youtube.com/watch?v=tl6Tme4yEfE&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=57,tl6Tme4yEfE,2017-08-11T23:49:01Z,56
